4:02-00-71:25:db:4,52 Ft.:1R00 0.6W 1% MF0207 (YAG) RoHS 50PPM E24:
6:02-00-88:25:db:4,52 Ft.:5R10 0.6W 1% MF0207 (YAG) RoHS 50PPM E24:
5:02-00-95:50:db:2,20 Ft.:10R0 0.6W 1% MF0207 (YAG) RoHS 50PPM E24:
7:02-01-02:50:db:2,20 Ft.:20R0 0.6W 1% MF0207 (YAG) 50PPM E24:
8:02-01-07:50:db:2,20 Ft.:33R0 0.6W 1% MF0207 (YAG) RoHS 50PPM E24:
9:02-01-12:50:db:2,20 Ft.:51R0 0.6W 1% MF0207 (YAG) RoHS 50PPM E24:
10:02-01-19:50:db:2,20 Ft.:100R 0.6W 1% MF0207 (YAG) RoHS 50PPM E24:
11:02-01-24:100:db:1,80 Ft.:160R 0.6W 1% MF0207 (YAG) RoHS 50PPM E24:
12:02-01-31:100:db:1,80 Ft.:330R 0.6W 1% MF0207 (YAG) RoHS 50PPM E24:
13:02-01-36:25:db:3,00 Ft.:510R 0.6W 1% MF0207 (YAG) RoHS 50PPM E24:
14:02-01-41:25:db:3,00 Ft.:820R 0.6W 1% MF0207 (YAG) RoHS 50PPM E24:
15:02-01-43:25:db:3,00 Ft.:1K00 0.6W 1% MF0207 (YAG)RoHS 50PPM E24:
58:02-01-47:25:db:3,00 Ft.:1K50 0.6W 1% MF0207 (YAG) RoHS 50PPM E24:
16:02-01-55:25:db:3,00 Ft.:3K30 0.6W 1% MF0207 (YAG) RoHS 50PPM E24:
17:02-01-60:50:db:2,20 Ft.:5K10 0.6W 1% MF0207 (YAG) RoHS 50PPM E24:
18:02-01-65:25:db:3,00 Ft.:8K20 0.6W 1% MF0207 (YAG) RoHS 50PPM E24:
19:02-06-83:50:db:2,40 Ft.:10K0 0.4W 1% MF0204 (YAG) RoHS 50PPM E-24:
59:02-01-71:25:db:3,00 Ft.:15K0 0.6W 1% MF0207 (YAG) RoHS 50PPM E24:
20:02-08-28:25:db:3,20 Ft.:20K0 0.4W 1% MF0204 (YAG) RoHS 50PPM E-24:
21:02-08-32:25:db:3,20 Ft.:33K0 0.4W 1% MF0204 (YAG) RoHS 50PPM E-24:
22:02-08-36:50:db:2,40 Ft.:47K0 0.4W 1% MF0204 (YAG) RoHS 50PPM E-24:
23:02-08-40:25:db:3,20 Ft.:68K0 0.4W 1% MF0204 (YAG) RoHS 50PPM E-24:
24:02-08-42:25:db:3,20 Ft.:82K0 0.4W 1% MF0204 (YAG) RoHS 50PPM E-24:
25:02-06-85:25:db:3,20 Ft.:100K 0.4W 1% MF0204 (YAG) RoHS 50PPM E-24:
26:02-08-53:50:db:2,40 Ft.:270K 0.4W 1% MF0204 (YAG) RoHS 50PPM E-24:
27:02-08-63:25:db:3,20 Ft.:680K 0.4W 1% MF0204 (YAG) RoHS 50PPM E-24:
28:02-08-67:25:db:3,20 Ft.:1M00 0.4W 1% MF0204 (YAG) RoHS 50PPM E-24:
29:02-08-76:25:db:4,52 Ft.:5M10 0.4W 1% MF0204 (YAG) RoHS 50PPM E-24:
1:02-10-67:25:db:5,40 Ft.:1R00 0.5W 5% 0207 FUR1/2WS (LSE) RoHS 2000PPM 6x2,3mm FUSIBLE:
2:02-10-68:25:db:5,40 Ft.:10R0 0.5W 5% 0207 FUR1/2WS (LSE) RoHS 2000PPM 6x2,3mm FUSIBLE:
3:02-10-69:25:db:5,40 Ft.:100R 0.5W 5% 0207 FUR1/2WS (LSE) RoHS 2000PPM 6x2,3mm FUSIBLE:
30:07-09-65:20:db:6,40 Ft.:18pF 50V RM 2.5 5% NP0 MULTI SSM15N180J50C (S-S) RoHS 4x3.8mm CER:
31:07-09-66:40:db:5,30 Ft.:22pF 50V RM 2.5 5% NP0 MULTI SSM15N220J50C (S-S) RoHS 4x3.8mm CER:
60:07-09-67:20:db:5,90 Ft.:27pF 50V RM 2.5 5% NP0 MULTI SSM15N270J50C (S-S) RoHS 4x3.8mm CER:
32:07-03-31:25:db:5,00 Ft.:1nF 50V RM 2.5 10% X7R MULTI SSM15X102K50C (S-S) RoHS 4x3.8mm CER:
34:07-11-19:10:db:14,60 Ft.:10nF 1000V RM 5.0 20% Y5V HF3A103Z09L526N (S-S) RoHS D=9.5mm CER DISC ZAVARSZ?R?:
33:07-09-98:25:db:5,72 Ft.:12nF 50V RM 2.5 10% X7R MULTI SSM15X123K50C (S-S) RoHS 4x3.8mm CER:
35:07-06-12:50:db:5,40 Ft.:100nF 50V RM 2.5 +80-20% Z5U MULTI SSM15Z104Z50C (S-S) RoHS 4x3.8mm CER:
36:07-09-52:25:db:13,20 Ft.:470nF 50V RM 2.5 +80-20% Y5V MULTI SSM20Y474Z50C (S-S) RoHS 4x3.8mm CER:
37:12-07-74:25:db:3,56 Ft.:10uF 50V 5x11 RM5.0 20% 85° SKP100M1UD11M (JAM) RoHS:
42:12-06-56:25:db:5,80 Ft.:100uF 35V 6x11 RM2.5 20% 105° 2000h ESM107M035S1A5E110 (LUX) RoHS:
38:12-06-93:25:db:7,72 Ft.:330uF 25V 10x12 RM5.0 20% 85° 2000h SK025M0330B5S-1012 (YAG) RoHS:
41:12-18-97:10:db:17,40 Ft.:1000uF 6.3V 8x15 RM3.5 20% 105° 4000h DSY108M6R3S1A5G15K (TEA) RoHS LOW ESR & IMP MOTHERBOARD:
39:12-05-01:24:db:4,00 Ft.:1000uF 10V 10x12 RM5.0 20% 85° (LEL):
40:12-03-93:25:db:8,52 Ft.:1000uF 16V 12.5x13 RM5.0 20% 105° KRG16VB1000M (NIP):
111:12-07-80:4:db:165,50 Ft.:330000uF 5.5V dynacap{\enspace}DX-5R5H334U RM10.0 30% +70°  (ELN) RoHS DYNACAP 11.5x5:
43:16-01-04:50:db:2,40 Ft.:0.15A 100V SWITCH 1N4148TR (VIS) RoHS trr
44:16-00-26:50:db:3,16 Ft.:1A 1000V RECT. 1N4007 (TSC) RoHS DO-41:
45:16-02-71:25:db:9,40 Ft.:1A 40V RECT.SCH.1N5819 (TSC) RoHS DO-41:
46:20-00-97:10:db:33,40 Ft.:1A 1000V DB107G (TSC) RoHS DB (DIP) GLASS PASS.:
47:21-07-97:25:db:7,52 Ft.:BC337-40TA (FAI) RoHS NPN-UNI 50V 0.8A 0.63W TO-92:
48:21-07-19:25:db:8,52 Ft.:BC32740BU (FAI) RoHS PNP-UNI 60V 0.8A 0.625W TO-92:
49:21-09-21:8:db:53,00 Ft.:TIP127 (STM) RoHS PNP-DARL-POWER 100V 5A 75W TO-220:
50:21-07-49:8:db:61,00 Ft.:TIP122 (STM) RoHS NPN-DARL-POWER 100V 5A 75W TO-220:
51:21-05-31:10:db:38,80 Ft.:J107 (TEM) N-FET-J-SWITCH Vgsoff4.5V IDss>0.1A Rds 8R TO-92:
52:21-01-32:20:db:18,80 Ft.:BS170 (FAI) RoHS N-FET-TMOS-SWITCH 60V 0.5A 0.83W TO-92:
53:21-08-94:20:db:61,00 Ft.:STP16NE06 (STM) N-POWERFET 60V 16A 45W 0.08R TO-220:
54:21-01-67:10:DB:38,00 Ft.:2N5460 (NSC) P-FET-J 40V 10mA 0,31W TO-92:
55:21-05-10:6:DB:72,67 Ft.:TP2020L (TEM) P-FET-HV 200V 0.5A 0.8W 
56:21-09-77:20:db:71,20 Ft.:2SJ141 (NEC) P-POWERFET 60V 13A 35W 0,2R (TO-220-F):
57:06-01-80:10:db:78,00 Ft.:10K0 LIN MONO (THL) RoHS D=6 FOGAZOTT TENG. D=17 FÉMHÁZAS:
61:43-00-67:8:db:41,38 Ft.:DSUB 9 P ANYA DB-9SS (T-T) RoHSFORRASZTHATÓ:
62:43-00-68:8:db:34,75 Ft.:DSUB 9 P APA DB-9SP (T-T) RoHS FORRASZTHATÓ:
63:43-06-24:16:db:31,50 Ft.:DSUB 9 P HÁZ DB-9H (T-T) RoHS:
64:43-01-03:4:db:69,50 Ft.:HD-DSUB 15 P APA HD-15SP (T-T) RoHS FORRASZTHATÓ:
65:43-05-05:6:db:69,67 Ft.:JACK 3.5mm ANYA JS35-06 SZTEREO LENG? A-V:
66:43-05-15:6:db:45,67 Ft.:JACK 3.5mm APA JP35-06 SZTEREO A-V:
67:18-00-96:25:db:6,00 Ft.:3.3 V 0.5 W BZX55C3V3 (VIS) RoHS DO-35:
68:18-00-59:25:db:6,72 Ft.:3.6 V 0.5 W BZX55C3V6 (ITT) XX DO-35:
69:18-00-62:25:db:5,20 Ft.:5.1 V 0.5 W BZX55C5V1 (TSC) RoHS DO-35:
70:18-00-75:20:db:11,90 Ft.:5.1 V 1.3 W BZX85C5V1 (VIS) RoHS DO-41:
75:18-00-37:20:db:5,60 Ft.:8.2 V 0.5 W BZX55C8V2 (TSC) RoHS DO-35:
71:18-00-45:15:db:6,27 Ft.:10 V 0.5 W BZX55C10 (PJT) RoHS DO-35:
72:18-01-81:15:db:6,27 Ft.:12 V 0.5 W BZX55C12 (TSC) RoHS DO-35:
73:18-00-65:15:db:7,80 Ft.:16 V 0.5 W BZX55C16 (VIS) RoHS DO-35:
74:18-00-95:15:db:7,80 Ft.:18 V 0.5 W BZX55C18 (VIS) RoHS DO-35:
76:32-02-93:10:db:53,00 Ft.:L7805CV (STM) RoHS STANDARD VOLT.REG. FIX +5V 1A TO-220:
77:32-02-28:5:db:57,00 Ft.:L7812CV (STM) RoHS STANDARD VOLT.REG. FIX +12V 1A TO-220:
78:32-18-60:10:db:65,00 Ft.:LD1117V33 (STM) RoHS FIX 3.3V 0.8A LDO. VOLT.REG. TO-220:
79:32-03-95:10:db:65,00 Ft.:LM317TG (ONS) RoHS 1.5A STANDARD +ADJ. VOLT.REG TO-220:
80:34-04-69:50:db:10,60 Ft.:D= 3 RED SUP.BR. L-934SRD-E (KIN) RoHS RED DIFF.250mcd 640nm 60°:
81:34-01-09:50:db:9,50 Ft.:D= 3 GRE SUP.BR. L-934SGD (KIN) RoHS GRE.DIFF. 40mcd 568nm 60°:
82:34-05-20:50:db:10,60 Ft.:D= 3 YEL L-934YDLK (KIN) RoHS YEL DIFF. 32mcd 588nm 60°:
83:34-05-96:10:db:140,00 Ft.:D= 5 RED/GRE/BLU SUP.BR.MULTI COL. HB5-40AOR AGC ABC C (HYA) RoHS W.CLEAR 4-PIN 12°:
84:09-00-01:15:db:11,27 Ft.:0R10 5% RSF2WS 2W 0414 (YAG) RoHS METALOXID 600V 300ppm:
85:09-00-08:15:db:11,27 Ft.:0R20 5% RSF2WS 2W 0414 (YAG) RoHS METALOXID 600V 300ppm:
86:09-00-26:20:db:8,50 Ft.:1R10 5% RSF2WS 2W 0414 (YAG) RoHS METALOXID 600V 300ppm:
87:09-00-32:20:db:8,50 Ft.:2R00 5% RSF2WS 2W 0414 (YAG) RoHS METALOXID 600V 300ppm:
88:09-00-41:20:db:8,50 Ft.:5R10 5% RSF2WS 2W 0414 (YAG) RoHS METALOXID:
89:09-00-48:20:db:8,50 Ft.:10R0 5% RSF2WS 2W 0414 (YAG) RoHS METALOXID 600V 300ppm:
90:09-00-72:20:db:8,50 Ft.:100R 5% RSF2WS 2W 0414 (YAG) RoHS METALOXID 600V 300ppm:
96:40-00-51:8:db:27,75 Ft.:32.768kHz QUARZ D=2x6mm NXG (NSK) RoHS DT-26 ?20ppm 12.5pF ORAQUARZ:
95:40-00-20:8:db:36,00 Ft.:4.000000MHz QUARZ HC49/S (NSK) RoHS ?30ppm 20pF LOW PROFILE:
91:40-00-52:16:db:33,50 Ft.:12.000000MHz QUARZ HC49/S (NSK) RoHS ?30ppm 20pF LOW PROFILE:
92:40-00-73:10:db:35,00 Ft.:16.000000MHz QUARZ HC49/S (NSK) RoHS 30ppm 20pF LOW PROFILE:
93:40-01-60:10:db:35,00 Ft.:18.432000MHz QUARZ HC49/S (NSK) RoHS 30ppm 30pF LOW PROFILE:
94:40-01-21:10:db:35,00 Ft.:20.000000MHz QUARZ HC49/S (NSK) RoHS ?30ppm 20pF LOW PROFILE:
97:43-03-71:10:db:67,60 Ft.:HÜVELY 40 P FHSH-2.54-40 (T-T) RoHS 1# h=8,5mm AU:
98:43-00-73:15:db:21,60 Ft.:TÜSKESOR 40 P PHSS-40- 6/3 (T-T) RoHS 2.54mm PIN 0.64x0.64 TÖRDELHETÖ:
99:32-03-36:10:db:43,00 Ft.:UA741CP (TI) RoHS GEN-PURP. OP.AMPL. DIP-8:
100:41-00-04:20:db:11,40 Ft.:DIP14 3# RUGOS IS.3-14 (T-T) RoHS:
101:41-00-21:20:db:12,40 Ft.:DIP16 3# RUGOS IS.3-16 (T-T) RoHS:
102:41-00-31:20:db:14,50 Ft.:DIP20 3# RUGOS IS.3-20 (T-T) RoHS:
103:41-00-84:20:db:20,20 Ft.:DIP28 3# RUGOS IS.3-28 (T-T) RoHS:
104:41-00-14:10:db:22,90 Ft.:DIP28 6# RUGOS IS.6-28 (T-T) RoHS:
105:41-00-85:10:db:30,00 Ft.:DIP40 6# RUGOS IS.6-40 (T-T) RoHS:
106:43-11-15:3:db:175,33 Ft.:TÁP DC ANYA 5.5/2.1/9.5mm DCS-5521-3 LENG?:
107:43-07-67:20:db:27,90 Ft.:TÁP DC ANYA 5.5/2.1/9.5mm DCS-5521-5 (G-S) RoHS NYÁK 90°:
108:38-03-72:10:db:27,20 Ft.:LTV817M-V (LIT) RoHS DIP-4 OPTOCOUPLER TRANS-OUT 50-600% 5kV:
109:47-02-17:144:db:13,90 Ft.:T11 TARTOZÉK M?SZERLÁB D=6x3mm ÖNTAPADÓS 3M RAG.:
110:45-03-18:10:db:29,80 Ft.:PUSH B. 8x 8 6P DPDT P1-0S/8 ( ) ON-(ON) PCB. MOMENTARY WITHOUT BUTTON 8x8mm:
112:43-06-29:4:db:42,00 Ft.:MÉR?CSIPESZ KROKODILCSIPESZ ACL-BPB/4 FEKETE 4MM BANÁNHÜVELYES:
113:43-06-30:4:db:42,00 Ft.:MÉR?CSIPESZ KROKODILCSIPESZ ACL-BPR/4 PIROS 4MM BANÁNHÜVELYES:
114:43-14-97:2:db:99,00 Ft.:MÉR?CSIPESZ KROKODILCSIPESZ ACL-BSB (G-S) FEKETE4MM BANÁNHÜVELYES SZIGETELT:
115:43-14-99:2:db:99,00 Ft.:MÉR?CSIPESZ KROKODILCSIPESZ ACL-BSR (G-S) PIROS 4MM BANÁNHÜVELYES SZIGETELT:
116:54-02-38:2:db:256,00 Ft.:SZERELT KÁBEL MÉR?ZSINÓR FEKETE BANÁNDUGÓ - BANÁNDUGÓ 100CM:
117:54-02-37:2:db:256,00 Ft.:SZERELT KÁBEL MÉR?ZSINÓR PIROS BANÁNDUGÓ - BANÁNDUGÓ 100CM:
118:54-02-39:2:db:256,00 Ft.:SZERELT KÁBEL MÉR?ZSINÓR SÁRGA BANÁNDUGÓ - BANÁNDUGÓ 100CM:
119:43-16-77:2:db:114,00 Ft.:MÉR?CSATLAKOZÓ BANÁNDUGÓ BP-5-G (G-S) RoHS 180° PVC ZÖLD:
120:43-16-79:2:db:114,00 Ft.:MÉR?CSATLAKOZÓ BANÁNDUGÓ BP-5-W (G-S) RoHS 180° PVC FEHÉR:
121:43-16-76:2:db:114,00 Ft.:MÉR?CSATLAKOZÓ BANÁNDUGÓ BP-5-BL (G-S) RoHS 180° PVC KÉK:


